evolution$generation,growthRate,mselog,logmse
100,0.028586255269522562,175.53924232814157,32.38231801378028
100,0.025359058903687254,157.95692956922963,32.6935849106271
100,0.02818622228478293,171.7693681501658,32.39863944211186
100,0.02779850730864682,168.53434964466115,32.42214636694252
100,0.026243793321118952,159.80381160140197,32.57676372182122
100,0.027346800919337024,165.29192931574076,32.45809785291349
100,0.027243482018097166,164.6306938741471,32.46749193490408
100,0.027881082519768376,169.18854329401606,32.4165408461459
100,0.025883047655067326,158.77191836409065,32.62267745835161
100,0.027342247527350816,165.2621543310848,32.458503169335806
100,0.025885955734422407,158.7787101508571,32.62229675968121
100,0.027346045129871356,165.2869831106124,32.45816507269916
100,0.025885588645604602,158.77785144553164,32.62234480675217
